STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-01-01,23.4,"H,,S",28.4,",,S",19.9,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-01-02,24.8,"H,,S",,,17.9,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-01-03,21.5,"H,,S",31.7,",,S",,
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-01-04,21.3,"H,,S",,,16.9,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-01-05,23.1,"H,,S",,,18.6,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-01-06,24.6,"H,,S",,,20.2,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-01-07,22.9,"H,,S",29.5,",,S",17.2,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-01-08,23.3,"H,,S",,,17.3,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-01-09,24.8,"H,,S",,,17.7,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-01-10,19.5,"H,,S",32.3,",,S",,
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-01-11,16.7,"H,,S",,,14.6,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-01-12,18.1,"H,,S",,,14.9,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-01-13,20.9,"H,,S",,,15.5,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-01-14,20.4,"H,,S",27.7,",,S",,
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-01-15,19.9,"H,,S",,,18.5,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-01-16,21,"H,,S",,,17.4,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-01-17,22.4,"H,,S",,,,
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-01-18,16,"H,,S",29.2,",,S",14,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-01-19,16.9,"H,,S",,,14.1,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-01-20,18,"H,,S",,,,
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-01-21,21.3,"H,,S",,,16.3,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-01-22,23.1,"H,,S",,,15.7,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-01-23,25.7,"H,,S",,,18.5,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-01-24,26.9,"H,,S",34.2,",,S",19.8,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-01-25,26.2,"H,,S",34.1,",,S",18.8,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-01-26,24.9,"H,,S",33.6,",,S",17.5,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-01-27,23.8,"H,,S",33.5,",,S",19.5,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-01-28,24.4,"H,,S",,,19.6,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-01-29,24.5,"H,,S",31,",,S",18,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-01-30,22.9,"H,,S",30.7,",,S",18.8,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-01-31,21.9,"H,,S",30.4,",,S",18.8,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-02-01,20.7,"H,,S",27.8,",,S",,
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-02-02,20.7,"H,,S",,,18.7,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-02-03,19.4,"H,,S",25,",,S",16,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-02-04,18.4,"H,,S",24.6,",,S",13.8,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-02-05,20.2,"H,,S",,,16.3,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-02-06,20.8,"H,,S",,,,
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-02-07,22.5,"H,,S",,,18.3,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-02-08,22.9,"H,,S",,,16.2,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-02-09,22.7,"H,,S",30.6,",,S",18.1,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-02-10,21.9,"H,,S",32.1,",,S",16.5,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-02-11,24.3,"H,,S",,,17.2,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-02-12,17,"H,,S",33.3,",,S",,
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-02-13,15.5,"H,,S",,,12.7,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-02-14,19.3,"H,,S",,,13.8,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-02-15,21,"H,,S",,,13.5,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-02-16,20.6,"H,,S",28.7,",,S",13.5,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-02-17,21.5,"H,,S",27.7,",,S",16.6,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-02-18,22.1,"H,,S",28.3,",,S",17.7,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-02-19,23.2,"H,,S",,,16.7,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-02-20,23.3,"H,,S",31.2,",,S",17,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-02-21,23.6,"H,,S",,,,
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-02-22,24.8,"H,,S",,,18.2,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-02-23,25.1,"H,,S",32.4,",,S",17.7,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-02-24,24.7,"H,,S",32.5,",,S",18.2,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-02-25,20.6,"H,,S",32.3,",,S",,
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-02-26,15.9,"H,,S",23.8,",,S",13,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-02-27,16.4,"H,,S",,,14.5,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-02-28,18.7,"H,,S",,,13.1,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-03-01,19.4,"H,,S",26,",,S",13.7,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-03-02,21.7,"H,,S",,,15.2,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-03-03,21.5,"H,,S",29.5,",,S",15.1,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-03-04,23.7,"H,,S",,,16.2,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-03-05,21.8,"H,,S",31.8,",,S",18.9,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-03-06,21.7,"H,,S",27.5,",,S",18.3,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-03-07,23.4,"H,,S",,,17.1,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-03-08,20.9,"H,,S",32,",,S",,
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-03-09,15.4,"H,,S",27.5,",,S",,
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-03-10,14.2,"H,,S",,,10.7,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-03-11,15.9,"H,,S",,,12.2,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-03-12,18.1,"H,,S",,,14.2,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-03-13,19.3,"H,,S",,,,
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-03-14,18.4,"H,,S",26.1,",,S",13,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-03-15,19.4,"H,,S",24.6,",,S",16.2,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-03-16,19.9,"H,,S",,,17.8,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-03-17,18.3,"H,,S",25.1,",,S",15.7,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-03-18,18.7,"H,,S",,,13.9,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-03-19,19.6,"H,,S",25.7,",,S",16.3,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-03-20,15.2,"H,,S",24.3,",,S",,
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-03-21,12.7,"H,,S",,,9.8,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-03-22,14.9,"H,,S",,,11.2,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-03-23,16.9,"H,,S",,,11.2,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-03-24,17.8,"H,,S",,,11.7,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-03-25,18.4,"H,,S",25.9,",,S",13.7,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-03-26,15.3,"H,,S",25,",,S",,
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-03-27,12.7,"H,,S",15.2,",,S",11.6,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-03-28,13.7,"H,,S",,,10.7,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-03-29,16.5,"H,,S",,,12,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-03-30,19.3,"H,,S",,,14,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-03-31,20.3,"H,,S",26.8,",,S",14.7,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-04-01,20.9,"H,,S",26.4,",,S",18,",,S"
