STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-01-01,28.5,"H,,S",,,24.5,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-01-02,31.1,"H,,S",,,27.5,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-01-03,27.8,"H,,S",35.5,",,S",,
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-01-04,23.3,"H,,S",28.5,",,S",,
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-01-05,27.3,"H,,S",,,21.5,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-01-06,26.6,"H,,S",32.8,",,S",,
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-01-07,24.1,"H,,S",29.5,",,S",19.5,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-01-08,24.6,"H,,S",,,20.6,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-01-09,27.6,"H,,S",,,21.5,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-01-10,21.7,"H,,S",33.5,",,S",,
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-01-11,23.2,"H,,S",,,19.5,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-01-12,25.9,"H,,S",,,22,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-01-13,26.4,"H,,S",32.2,",,S",23.3,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-01-14,25.9,"H,,S",32.6,",,S",24.2,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-01-15,27.9,"H,,S",,,24.8,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-01-16,27.1,"H,,S",34.1,",,S",23.2,",,S"
