STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
ARM00087162,"FORMOSA, AR",-26.213,-58.228,59.1,2019-01-01,30.6,"H,,S",,,23.6,",,S"
ARM00087162,"FORMOSA, AR",-26.213,-58.228,59.1,2019-01-02,31.7,"H,,S",36.3,",,S",26.8,",,S"
ARM00087162,"FORMOSA, AR",-26.213,-58.228,59.1,2019-01-03,29.4,"H,,S",36,",,S",,
ARM00087162,"FORMOSA, AR",-26.213,-58.228,59.1,2019-01-04,25.9,"H,,S",35.7,",,S",,
ARM00087162,"FORMOSA, AR",-26.213,-58.228,59.1,2019-01-05,24.9,"H,,S",30.2,",,S",22.8,",,S"
ARM00087162,"FORMOSA, AR",-26.213,-58.228,59.1,2019-01-06,25.6,"H,,S",,,,
ARM00087162,"FORMOSA, AR",-26.213,-58.228,59.1,2019-01-07,24.1,"H,,S",30.2,",,S",20.1,",,S"
ARM00087162,"FORMOSA, AR",-26.213,-58.228,59.1,2019-01-08,25.6,"H,,S",,,21,",,S"
ARM00087162,"FORMOSA, AR",-26.213,-58.228,59.1,2019-01-09,29.9,"H,,S",,,23.7,",,S"
ARM00087162,"FORMOSA, AR",-26.213,-58.228,59.1,2019-01-10,26.8,"H,,S",34.6,",,S",,
ARM00087162,"FORMOSA, AR",-26.213,-58.228,59.1,2019-01-11,23.9,"H,,S",30.2,",,S",20.7,",,S"
ARM00087162,"FORMOSA, AR",-26.213,-58.228,59.1,2019-01-12,27.8,"H,,S",,,21.3,",,S"
ARM00087162,"FORMOSA, AR",-26.213,-58.228,59.1,2019-01-13,28.6,"H,,S",,,23.9,",,S"
ARM00087162,"FORMOSA, AR",-26.213,-58.228,59.1,2019-01-14,28.7,"H,,S",34.8,",,S",24.8,",,S"
ARM00087162,"FORMOSA, AR",-26.213,-58.228,59.1,2019-01-15,30.1,"H,,S",,,25.6,",,S"
ARM00087162,"FORMOSA, AR",-26.213,-58.228,59.1,2019-01-16,31.3,"H,,S",,,25,",,S"
ARM00087162,"FORMOSA, AR",-26.213,-58.228,59.1,2019-01-17,32.4,"H,,S",,,27.4,",,S"
ARM00087162,"FORMOSA, AR",-26.213,-58.228,59.1,2019-01-18,26.1,"H,,S",37.2,",,S",,
ARM00087162,"FORMOSA, AR",-26.213,-58.228,59.1,2019-01-19,20.7,"H,,S",26,",,S",18.4,",,S"
ARM00087162,"FORMOSA, AR",-26.213,-58.228,59.1,2019-01-20,23.5,"H,,S",,,19,",,S"
ARM00087162,"FORMOSA, AR",-26.213,-58.228,59.1,2019-01-21,26.6,"H,,S",,,19.7,",,S"
ARM00087162,"FORMOSA, AR",-26.213,-58.228,59.1,2019-01-22,30.1,"H,,S",,,23.4,",,S"
ARM00087162,"FORMOSA, AR",-26.213,-58.228,59.1,2019-01-23,32.8,"H,,S",,,26.5,",,S"
ARM00087162,"FORMOSA, AR",-26.213,-58.228,59.1,2019-01-24,28.8,"H,,S",38.7,",,S",24,",,S"
ARM00087162,"FORMOSA, AR",-26.213,-58.228,59.1,2019-01-25,30.9,"H,,S",,,24.2,",,S"
ARM00087162,"FORMOSA, AR",-26.213,-58.228,59.1,2019-01-26,32.4,"H,,S",,,26.7,",,S"
ARM00087162,"FORMOSA, AR",-26.213,-58.228,59.1,2019-01-27,30.9,"H,,S",38.7,",,S",25.4,",,S"
ARM00087162,"FORMOSA, AR",-26.213,-58.228,59.1,2019-01-28,29.9,"H,,S",37.4,",,S",26,",,S"
ARM00087162,"FORMOSA, AR",-26.213,-58.228,59.1,2019-01-29,30.6,"H,,S",,,24.8,",,S"
ARM00087162,"FORMOSA, AR",-26.213,-58.228,59.1,2019-01-30,31.2,"H,,S",,,25.1,",,S"
ARM00087162,"FORMOSA, AR",-26.213,-58.228,59.1,2019-01-31,32.1,"H,,S",,,25.9,",,S"
ARM00087162,"FORMOSA, AR",-26.213,-58.228,59.1,2019-02-01,31.9,"H,,S",,,26.6,",,S"
ARM00087162,"FORMOSA, AR",-26.213,-58.228,59.1,2019-02-02,25.9,"H,,S",40,",,S",23.2,",,S"
ARM00087162,"FORMOSA, AR",-26.213,-58.228,59.1,2019-02-03,25.2,"H,,S",29,",,S",23,",,S"
ARM00087162,"FORMOSA, AR",-26.213,-58.228,59.1,2019-02-04,25.2,"H,,S",,,20,",,S"
ARM00087162,"FORMOSA, AR",-26.213,-58.228,59.1,2019-02-05,24.2,"H,,S",30.5,",,S",18,",,S"
ARM00087162,"FORMOSA, AR",-26.213,-58.228,59.1,2019-02-06,25.7,"H,,S",,,18,",,S"
ARM00087162,"FORMOSA, AR",-26.213,-58.228,59.1,2019-02-07,28.4,"H,,S",,,20.6,",,S"
ARM00087162,"FORMOSA, AR",-26.213,-58.228,59.1,2019-02-08,30,"H,,S",,,21.5,",,S"
ARM00087162,"FORMOSA, AR",-26.213,-58.228,59.1,2019-02-09,31.1,"H,,S",,,22.8,",,S"
ARM00087162,"FORMOSA, AR",-26.213,-58.228,59.1,2019-02-10,26.1,"H,,S",40.8,",,S",22,",,S"
ARM00087162,"FORMOSA, AR",-26.213,-58.228,59.1,2019-02-11,30.4,"H,,S",,,24.2,",,S"
ARM00087162,"FORMOSA, AR",-26.213,-58.228,59.1,2019-02-12,24.1,"H,,S",37.8,",,S",,
ARM00087162,"FORMOSA, AR",-26.213,-58.228,59.1,2019-02-13,22.6,"H,,S",,,16.6,",,S"
ARM00087162,"FORMOSA, AR",-26.213,-58.228,59.1,2019-02-14,23.9,"H,,S",29.4,",,S",20.1,",,S"
ARM00087162,"FORMOSA, AR",-26.213,-58.228,59.1,2019-02-15,24.7,"H,,S",30,",,S",19,",,S"
ARM00087162,"FORMOSA, AR",-26.213,-58.228,59.1,2019-02-16,24.2,"H,,S",30.5,",,S",19.3,",,S"
ARM00087162,"FORMOSA, AR",-26.213,-58.228,59.1,2019-02-17,25.5,"H,,S",,,20.4,",,S"
ARM00087162,"FORMOSA, AR",-26.213,-58.228,59.1,2019-02-18,27.1,"H,,S",,,20.6,",,S"
ARM00087162,"FORMOSA, AR",-26.213,-58.228,59.1,2019-02-19,28.4,"H,,S",,,21.8,",,S"
ARM00087162,"FORMOSA, AR",-26.213,-58.228,59.1,2019-02-20,29.3,"H,,S",35.5,",,S",22.4,",,S"
